target,gender,match_id,home_team,away_team,sportsbook_line,prediction,suggested_line,actual,edge,bet,bet_hit,profit,roi_pct
q3_total,men_or_open,15556170,BMS Herlev U13,SKM-Mustangs U13,55.5,26.0,31.0,20,-29.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15556169,Academy Istanbul U13,Zalgiris U13,55.5,24.5,29.5,33,-31.0,UNDER,True,0.91,91.0
q3_total,men_or_open,15556168,Tartu Ulikool U13,Akademia Mlodych Dzikow U13,55.5,26.5,31.5,35,-29.0,UNDER,True,0.91,91.0
q3_total,men_or_open,15556167,SKM-Mustangs U13,RBS Centrs U13,55.5,22.5,27.5,31,-33.0,UNDER,True,0.91,91.0
q3_total,men_or_open,15556166,Muks Basket Warszawa U13,Vienna United U13,55.5,23.7,28.7,34,-31.8,UNDER,True,0.91,91.0
q3_total,men_or_open,15556165,Tartu Ulikool U13,BMS Herlev U13,55.5,23.8,28.8,39,-31.7,UNDER,True,0.91,91.0
q3_total,men_or_open,15556164,RBS Centrs U13,Muks Basket Warszawa U13,55.5,27.7,32.7,28,-27.8,UNDER,True,0.91,91.0
q3_total,men_or_open,15556163,Zalgiris U13,Unibasket Lanciano U13,55.5,28.7,33.7,31,-26.8,UNDER,True,0.91,91.0
q3_total,men_or_open,15556162,Akademia Mlodych Dzikow U13,Zalgiris U13,55.5,25.1,30.1,30,-30.4,UNDER,True,0.91,91.0
q3_total,women,15554517,Club Inmaa el Damour,Homenetmen Antelias,55.5,17.7,22.7,32,-37.8,UNDER,True,0.91,91.0
q3_total,women,15554516,NSA,Sporting Club Beirut,55.5,20.4,25.4,20,-35.1,UNDER,True,0.91,91.0
q3_total,women,15554515,Azour,AL Mtayleb,55.5,16.4,21.4,32,-39.1,UNDER,True,0.91,91.0
q3_total,men_or_open,15553304,BK Brno,KP Brno,55.5,24.1,29.1,30,-31.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15553301,Slovanka MB,Levhartice Chomutov,55.5,25.1,30.1,40,-30.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15553299,USK Praha,SB? Ostrava,55.5,29.0,34.0,34,-26.5,UNDER,True,0.91,91.0
q3_total,women,15552808,P?rnu Spordikool,TSA/Cityteed,55.5,19.6,24.6,35,-35.9,UNDER,True,0.91,91.0
q3_total,women,15550567,Groups Scolaire Marie Reine Rwaza,APR BBC,55.5,20.0,25.0,29,-35.5,UNDER,True,0.91,91.0
q3_total,women,15550566,REG BBC,RP-IPRC Huye,55.5,15.8,20.8,42,-39.7,UNDER,True,0.91,91.0
q3_total,women,15550565,GS Gahini,THE Hoops Bbc,55.5,21.2,26.2,26,-34.3,UNDER,True,0.91,91.0
q3_total,women,15550564,Groups Scolaire Marie Reine Rwaza,RP-IPRC Huye,55.5,20.2,25.2,20,-35.3,UNDER,True,0.91,91.0
q3_total,women,15548179,Enisey Krasnoyarsk,BC Samara,55.5,16.5,21.5,37,-39.0,UNDER,True,0.91,91.0
q3_total,men_or_open,15545315,APR BBC,Azomco,55.5,23.8,28.8,47,-31.7,UNDER,True,0.91,91.0
q3_total,men_or_open,15545314,East African University Rwanda,Kepler BBC,55.5,25.0,30.0,51,-30.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15545313,Inspired Generation,Tigers BBC,55.5,31.6,36.6,36,-23.9,UNDER,True,0.91,91.0
q3_total,men_or_open,15535812,Blaze Wolves,Athletico Carioca,55.5,29.8,34.8,43,-25.7,UNDER,True,0.91,91.0
q3_total,men_or_open,15535811,Montebravo City,CD Molino Alto,55.5,27.2,32.2,47,-28.3,UNDER,True,0.91,91.0
q3_total,men_or_open,15535807,Atl?tico Valdemiga,Academia Astilleros,55.5,27.7,32.7,49,-27.8,UNDER,True,0.91,91.0
q3_total,men_or_open,15535806,Las Baster,Sporting Curasan,55.5,42.1,47.1,51,-13.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15535805,Owoghy United,CB Pi?eiros,55.5,28.9,33.9,38,-26.6,UNDER,True,0.91,91.0
q3_total,men_or_open,15535337,BC Jurbarkas-Karys,Plung?s Olimpas,55.5,29.6,34.6,50,-25.9,UNDER,True,0.91,91.0
q3_total,men_or_open,15535315,Alytaus Alytus,Klaip?dos Nept?nas-Akvaservis,55.5,28.1,33.1,43,-27.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15531704,Kretingos Kretinga,Omega Kauno,55.5,26.5,31.5,39,-29.0,UNDER,True,0.91,91.0
q3_total,men_or_open,15531695,Vilniaus Stekas,?ilut?s ?ilut?,55.5,27.0,32.0,45,-28.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15531557,Kauno ?algiris II,Sud?va-Mantinga Marijampol?,55.5,25.4,30.4,42,-30.1,UNDER,True,0.91,91.0
q3_total,men_or_open,15530809,MCR Lima-Horta Barcelona,Unicaja Mijas Malaga,55.5,28.9,33.9,40,-26.6,UNDER,True,0.91,91.0
q3_total,men_or_open,15530808,Fundacion Navarra Baloncesto Ardoi,Fustecma NBF Castell?,55.5,24.1,29.1,29,-31.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15530807,Club Baloncesto Adareva Tenerife,Melilla Ciudad del Deporte La Salle,55.5,25.9,30.9,35,-29.6,UNDER,True,0.91,91.0
q3_total,men_or_open,15530806,Bosonit Unibasket Logro?o,Cajasol Baloncesto Sevilla,55.5,25.0,30.0,31,-30.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15530805,Club B?squet Santfeliuenc,Azulmarino Mallorca Palma,55.5,41.4,46.4,49,-14.1,UNDER,True,0.91,91.0
q3_total,men_or_open,15530804,Iraurgi Saski Baloia,CD Zamarat,55.5,25.1,30.1,26,-30.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15530803,Celta Femxa Zorka,Sernova Renovables Real Canoe,55.5,26.5,31.5,30,-29.0,UNDER,True,0.91,91.0
q3_total,men_or_open,15530802,La Cord? de Paterna NB,Al-Qazeres Extremadura,55.5,25.0,30.0,43,-30.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15529272,Lan?s BC,Club Atl?tico Provincial,55.5,29.5,34.5,36,-26.0,UNDER,True,0.91,91.0
q3_total,men_or_open,15527039,Selenge Bodons,Chi Forest Mongolians,55.5,28.7,33.7,39,-26.8,UNDER,True,0.91,91.0
q3_total,men_or_open,15527036,Bishrelt Metal,Khovd Falcons,55.5,24.3,29.3,30,-31.2,UNDER,True,0.91,91.0
q3_total,men_or_open,15525441,UCU Canons,Updf Tomahawks,55.5,26.0,31.0,24,-29.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15525434,Kampala Rockets,JT Jaguars BC,55.5,25.4,30.4,31,-30.1,UNDER,True,0.91,91.0
q3_total,men_or_open,15525430,UMU Flames,Rezlife Saints,55.5,25.4,30.4,33,-30.1,UNDER,True,0.91,91.0
q3_total,men_or_open,15525426,Updf Tomahawks,Victoria University Crocs,55.5,24.5,29.5,29,-31.0,UNDER,True,0.91,91.0
q3_total,women,15514808,UPDF Lady Tomahawks,Nabisunsa Girls,55.5,21.2,26.2,28,-34.3,UNDER,True,0.91,91.0
q3_total,women,15514805,KCCA Leopards,Victoria She Crocs,55.5,19.3,24.3,36,-36.2,UNDER,True,0.91,91.0
q3_total,women,15514802,Pearl Queens,Miracle Eaglets,55.5,20.6,25.6,29,-34.9,UNDER,True,0.91,91.0
q3_total,men_or_open,15508236,Basketball Klosterneuburg,BC Vienna,55.5,25.5,30.5,34,-30.0,UNDER,True,0.91,91.0
q3_total,men_or_open,15508235,Raiffeisen Flyers Wels,Kapfenberg Bulls,55.5,29.6,34.6,30,-25.9,UNDER,True,0.91,91.0
q3_total,men_or_open,15508233,SKN St. P?lten,F?rstenfeld Panthers,55.5,22.7,27.7,39,-32.8,UNDER,True,0.91,91.0
q3_total,men_or_open,15508230,Swans Gmunden,BBC Nord Dragonz,55.5,29.6,34.6,47,-25.9,UNDER,True,0.91,91.0
q3_total,women,15504694,GDESSA Barreiro,Quinta dos Lombos,55.5,22.0,27.0,37,-33.5,UNDER,True,0.91,91.0
q3_total,women,15495107,KARA Trutnov,MBK Ru?omberok,55.5,17.2,22.2,39,-38.3,UNDER,True,0.91,91.0
q3_total,women,15495106,Sokol Hradec Kralove,SKK Polonia Warszawa,55.5,16.4,21.4,37,-39.1,UNDER,True,0.91,91.0
q3_total,women,15495105,MBK Ru?omberok,Sokol Hradec Kralove,55.5,17.8,22.8,35,-37.7,UNDER,True,0.91,91.0
q3_total,women,15495104,SKK Polonia Warszawa,KARA Trutnov,55.5,17.6,22.6,37,-37.9,UNDER,True,0.91,91.0
q3_total,women,15494370,Quimsa de Santiago del Estero,Hindu Club,55.5,18.3,23.3,32,-37.2,UNDER,True,0.91,91.0
q3_total,women,15494367,Nautico SP Avellaneda,Bochas SC Cordoba,55.5,15.6,20.6,48,-39.9,UNDER,True,0.91,91.0
q3_total,women,15494363,Ferro Carril Oeste,El Talar,55.5,17.8,22.8,27,-37.7,UNDER,True,0.91,91.0
q3_total,women,15494362,CA Lan?s,Deportivo Berazategui,55.5,20.6,25.6,24,-34.9,UNDER,True,0.91,91.0
q3_total,women,15493998,Clube Uni?o Sportiva,BC Barcelos,55.5,19.2,24.2,41,-36.3,UNDER,True,0.91,91.0
q3_total,women,15493997,CP Esgueira,CAB Madeira,55.5,17.8,22.8,35,-37.7,UNDER,True,0.91,91.0
q3_total,men_or_open,14442034,Denver Nuggets,Golden State Warriors,55.5,38.1,43.1,61,-17.4,UNDER,False,-1,-100
q3_total,men_or_open,15492717,CBC - Cora??o do Ribatejo,CBA Vigion Albufeira,55.5,25.5,30.5,35,-30.0,UNDER,True,0.91,91.0
q3_total,men_or_open,15880671,Caballeros de Culiac?n,Toros Laguna,55.5,25.0,30.0,39,-30.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15656128,ADS Sentinels,Enid Outlaws,55.5,27.2,32.2,44,-28.3,UNDER,True,0.91,91.0
q3_total,men_or_open,15492716,Estoril Basket Clube,Atl?tico CP,55.5,24.8,29.8,34,-30.7,UNDER,True,0.91,91.0
q3_total,men_or_open,15793862,Panteras de Miranda,Pioneros del Avila,55.5,29.6,34.6,42,-25.9,UNDER,True,0.91,91.0
q3_total,men_or_open,15492715,ABA IPCB,OS Belenenses,55.5,26.1,31.1,46,-29.4,UNDER,True,0.91,91.0
q3_total,men_or_open,15776209,Marinos de Oriente,H?roes de Falc?n,55.5,25.0,30.0,34,-30.5,UNDER,True,0.91,91.0
q3_total,men_or_open,15492710,CBC - Cora??o do Ribatejo,Atl?tico CP,55.5,24.8,29.8,41,-30.7,UNDER,True,0.91,91.0
q3_total,men_or_open,15597804,The Sharks,CD Illapel Basquetbol,55.5,28.9,33.9,44,-26.6,UNDER,True,0.91,91.0
q3_total,men_or_open,15492703,SC Vasco da Gama Sub23,CD P?voa Sub23,55.5,27.2,32.2,41,-28.3,UNDER,True,0.91,91.0
q3_total,men_or_open,15597803,CDS B?squetbol Constituci?n,Liceo de Curic?,55.5,29.1,34.1,44,-26.4,UNDER,True,0.91,91.0
q3_total,men_or_open,14439237,Indiana Pacers,Miami Heat,55.5,45.3,50.3,61,-10.2,UNDER,False,-1,-100
q3_total,men_or_open,15776207,Centauros de Portuguesa,Trotamundos de Carabobo,55.5,30.7,35.7,56,-24.8,UNDER,False,-1,-100
