target,match_id,home_team,away_team,threshold,prediction,actual,error,bet_over,over_hit,over_roi,bet_under,under_hit,under_roi,edge
q3_home,15121621,North Macedonia,Luxembourg,19,10.7,15,-4.3,False,False,-100,True,True,91.0,8.3
q3_home,15121614,Kosovo,Slovakia,19,12.9,24,-11.1,False,True,91.0,True,False,-100,6.1
q3_home,15121607,Norway,Bulgaria,19,10.7,16,-5.3,False,False,-100,True,True,91.0,8.3
q3_home,15121599,Ireland,Azerbaijan,19,12.0,19,-7.0,False,False,-100,True,False,-100,7.0
q3_home,15113647,Amancay de la Rioja,Estudiantes de Tucum?n,19,13.9,27,-13.1,False,True,91.0,True,False,-100,5.1
q3_home,15113642,Comunicaciones,Barrio Parque,19,11.3,18,-6.7,False,False,-100,True,True,91.0,7.7
q3_home,15113641,Uni?n de Mar del Plata,Tom?s de Rocamora,19,10.7,25,-14.3,False,True,91.0,True,False,-100,8.3
q3_home,15113640,Lan?s BC,Ciclista Juninense,19,13.3,17,-3.7,False,False,-100,True,True,91.0,5.7
q3_home,15113639,Fusion Riojana,Estudiantes de Tucum?n,19,19.6,23,-3.4,True,True,91.0,False,False,-100,0.6
q3_home,15113638,Santa Paula de G?lvez,Sportivo Suardi,19,20.6,28,-7.4,True,True,91.0,False,False,-100,1.6
q3_home,15113637,Deportivo Rivadavia Mendoza,Col?n de Santa Fe,19,12.0,11,1.0,False,False,-100,True,True,91.0,7.0
q3_home,15113636,Central Entrerriano,La Uni?n Col?n Entre R?os,19,12.0,23,-11.0,False,True,91.0,True,False,-100,7.0
q3_home,15113635,Club Atl?tico Provincial,Gimnasia y Esgrima de La Plata,19,13.4,17,-3.6,False,False,-100,True,True,91.0,5.6
q3_home,15110209,Lunar Owls BC,Hive BC,19,11.5,21,-9.5,False,True,91.0,True,False,-100,7.5
q3_home,15110208,Laces BC,Breeze BC,19,9.8,11,-1.2,False,False,-100,True,True,91.0,9.2
q3_home,15110207,Vinyl BC,Mist BC,19,10.9,14,-3.1,False,False,-100,True,True,91.0,8.1
q3_home,15110206,Phantom BC,Rose BC,19,9.0,16,-7.0,False,False,-100,True,True,91.0,10.0
q3_home,15656722,Bellarine,Wyndham Basketball,19,13.6,40,-26.4,False,True,91.0,True,False,-100,5.4
q3_home,15347859,Newcastle Falcons,Hills Hornets,19,12.0,21,-9.0,False,True,91.0,True,False,-100,7.0
q3_home,15347858,Basketball Australia CoE,Bankstown Bruins,19,19.1,19,0.1,True,False,-100,False,False,-100,0.1
q3_home,15347179,Waverley Falcons,Sandringham Sabres,19,12.1,14,-1.9,False,False,-100,True,True,91.0,6.9
q3_home,15778869,Sydney Kings,Adelaide 36ers,19,20.2,21,-0.8,True,True,91.0,False,False,-100,1.2
q3_home,15347178,Melbourne Tigers,Mount Gambier Pioneers,19,18.5,13,5.5,False,False,-100,True,True,91.0,0.5
q3_home,15880670,Halcones de Ciudad Obreg?n,Venados de Mazatl?n,19,12.0,26,-14.0,False,True,91.0,True,False,-100,7.0
q3_home,14999745,Texas Longhorns,Georgia Bulldogs,19,9.2,18,-8.8,False,False,-100,True,True,91.0,9.8
q3_home,15880669,Ostioneros de Guaymas,Rayos de Hermosillo,19,13.6,21,-7.4,False,True,91.0,True,False,-100,5.4
q3_home,15880668,Zonkeys De Tijuana,?ngeles de la Ciudad de M?xico,19,13.0,29,-16.0,False,True,91.0,True,False,-100,6.0
q3_home,15656856,Mckinnon Cougars,Sherbrooke,19,10.4,23,-12.6,False,True,91.0,True,False,-100,8.6
q3_home,15656721,Sunbury Jets,Warrandyte Venom,19,13.9,25,-11.1,False,True,91.0,True,False,-100,5.1
q3_home,15348028,Central Coast Crusaders,Norths Bears,19,12.9,9,3.9,False,False,-100,True,True,91.0,6.1
q3_home,15347857,Hornsby Spiders,Illawarra Hawks,19,12.1,15,-2.9,False,False,-100,True,True,91.0,6.9
q3_home,14999740,South Carolina Gamecocks,Missouri Tigers,19,10.9,28,-17.1,False,True,91.0,True,False,-100,8.1
q3_home,15347177,Ballarat Miners,Diamond Valley Eagles,19,20.5,26,-5.5,True,True,91.0,False,False,-100,1.5
q3_home,15880667,Frayles De Guasave,Astros de Jalisco,19,15.4,25,-9.6,False,True,91.0,True,False,-100,3.6
q3_home,15587289,Panteras Aguascalientes,Freseras Irapuato,19,9.6,19,-9.4,False,False,-100,True,False,-100,9.4
q3_home,15656240,4 Bears Roar,Great Falls Electric,19,15.3,29,-13.7,False,True,91.0,True,False,-100,3.7
q3_home,15656126,ADS Sentinels,Enid Outlaws,19,12.0,30,-18.0,False,True,91.0,True,False,-100,7.0
q3_home,14999734,Vanderbilt Commodores,Alabama Crimson Tide,19,9.7,31,-21.3,False,True,91.0,True,False,-100,9.3
q3_home,15656243,4 Bears Roar,Great Falls Electric,19,20.0,28,-8.0,True,True,91.0,False,False,-100,1.0
q3_home,14999729,Auburn Tigers,Kentucky Wildcats,19,10.5,11,-0.5,False,False,-100,True,True,91.0,8.5
q3_home,14999728,Oklahoma Sooners,Arkansas Razorbacks,19,9.2,21,-11.8,False,True,91.0,True,False,-100,9.8
q3_home,14999719,Florida Gators,Ole Miss Rebels,19,10.4,15,-4.6,False,False,-100,True,True,91.0,8.6
q3_home,14999718,LSU Tigers,Tennessee Lady Volunteers,19,10.6,27,-16.4,False,True,91.0,True,False,-100,8.4
q3_home,14442421,Detroit Pistons,Oklahoma City Thunder,19,25.2,36,-10.8,True,True,91.0,False,False,-100,6.2
q3_home,14439129,Memphis Grizzlies,Golden State Warriors,19,22.2,23,-0.8,True,True,91.0,False,False,-100,3.2
q3_home,14442684,Toronto Raptors,San Antonio Spurs,19,23.3,31,-7.7,True,True,91.0,False,False,-100,4.3
q3_home,14442259,Houston Rockets,Sacramento Kings,19,23.2,31,-7.8,True,True,91.0,False,False,-100,4.2
q3_home,14439167,Milwaukee Bucks,Cleveland Cavaliers,19,24.1,31,-6.9,True,True,91.0,False,False,-100,5.1
q3_home,14442592,Denver Nuggets,Boston Celtics,19,21.3,30,-8.7,True,True,91.0,False,False,-100,2.3
q3_home,14442219,Indiana Pacers,Charlotte Hornets,19,24.1,36,-11.9,True,True,91.0,False,False,-100,5.1
q3_home,14442573,Philadelphia 76ers,Miami Heat,19,23.8,26,-2.2,True,True,91.0,False,False,-100,4.8
q3_home,14442640,Atlanta Hawks,Washington Wizards,19,23.2,22,1.2,True,True,91.0,False,False,-100,4.2
q3_home,14439179,Brooklyn Nets,San Antonio Spurs,19,25.3,28,-2.7,True,True,91.0,False,False,-100,6.3
q3_home,14442174,Orlando Magic,Houston Rockets,19,20.5,27,-6.5,True,True,91.0,False,False,-100,1.5
